county,office_bp,candidate,party
Adair,Adair County Clerk,Destiny Greer,REP
Adair,Adair County Clerk,Nadalie Inscho,REP
Adair,Adair County Constable District 6,Jason T. Rector,REP
Adair,Adair County Constable District 6,Louis Ponzi,REP
Adair,Adair County Judge/Executive,Chris Reeder,REP
Adair,Adair County Judge/Executive,Gale B. Cowan,REP
Adair,Adair County Judge/Executive,Larry Russell Bryant,REP
Adair,Adair County Magistrate District 1,Donnie G. Curry,REP
Adair,Adair County Magistrate District 1,Jared Stargel,REP
Adair,Adair County Magistrate District 1,Joe Edward Kimbler,REP
Adair,Adair County Magistrate District 1,Tony Denton,REP
Adair,Adair County Magistrate District 2,Daryl Flatt,REP
Adair,Adair County Magistrate District 2,Greg L. Willis,REP
Adair,Adair County Magistrate District 2,James Eaton,REP
Adair,Adair County Magistrate District 3,Brian Turner,REP
Adair,Adair County Magistrate District 3,Todd Smith,REP
Adair,Adair County Magistrate District 3,Veronica Arnold,REP
Adair,Adair County Magistrate District 4,Barry Petty,REP
Adair,Adair County Magistrate District 4,Carley Fudge,REP
Adair,Adair County Magistrate District 4,Chris Janes,REP
Adair,Adair County Magistrate District 6,Greg Caldwell,REP
Adair,Adair County Magistrate District 6,Ronald Mark Humphress,REP
Adair,Adair County Magistrate District 7,Bryan Cheatham,REP
Adair,Adair County Magistrate District 7,Richard Phelps,REP
Adair,Adair County Magistrate District 7,Stephen Foster,REP
Adair,Adair County Sheriff,Gary Roy,REP
Adair,Adair County Sheriff,Joey Keith,REP
Adair,Adair County Sheriff,Rodger Young,REP
Allen,Allen County Jailer,Alan Lattie Moore,REP
Allen,Allen County Jailer,Johnathan Carter,REP
Allen,Allen County Jailer,Kyle D. Harper,REP
Allen,Allen County Jailer,Scottie Lee Hudson II,REP
Allen,Allen County Jailer,Tim Meador,REP
Allen,Allen County Judge/Executive,Dennis Harper,REP
Allen,Allen County Judge/Executive,Rob Herrington,REP
Allen,Allen County Magistrate District 3,Brandon King,REP
Allen,Allen County Magistrate District 3,Brock William Coffey,REP
Allen,Allen County Magistrate District 3,Eric Twayne Jones,REP
Allen,Allen County Magistrate District 3,Orel Steven Meador,REP
Allen,Allen County Magistrate District 3,William Bray Jr.,REP
Allen,Allen County Magistrate District 3,William Thomason,REP
Allen,Allen County Magistrate District 3,William Webb,REP
Allen,Allen County Magistrate District 5,Anthony Thompson,REP
Allen,Allen County Magistrate District 5,Tim Miller,REP
Anderson,Anderson County Attorney,Dotty McCann Watts,REP
Anderson,Anderson County Attorney,Robert Wiedo,REP
Anderson,Anderson County Jailer,Joseph Robinson,REP
Anderson,Anderson County Jailer,Tasha Hellard,REP
Anderson,Anderson County Magistrate District 1,Anthony Searcy,REP
Anderson,Anderson County Magistrate District 1,Rodney Durr,REP
Anderson,Anderson County Magistrate District 5,David Montgomery,REP
Anderson,Anderson County Magistrate District 5,Noal Cotton Jr.,REP
Anderson,Anderson County Magistrate District 6,Gregory A. Lewis,REP
Anderson,Anderson County Magistrate District 6,Gwen Carpenter,REP
Anderson,Anderson County Magistrate District 6,J. Wesley Ellis Jr.,REP
Anderson,Anderson County Magistrate District 6,Kenny Barnett,REP
Anderson,Anderson County Magistrate District 6,Robby L. Hatter,REP
Anderson,Anderson County Magistrate/Justice of the Peace District 3,Justin R. Kelly,REP
Anderson,Anderson County Magistrate/Justice of the Peace District 3,Leslie Edmondson,REP
Ballard,Ballard County Clerk,Jessica L. Grief,REP
Ballard,Ballard County Clerk,Travis L. Holder,REP
Ballard,Ballard County Jailer,Eric Coppess,REP
Ballard,Ballard County Jailer,James Campbell,REP
Ballard,Ballard County Magistrate District 1,Justin A. Smith,REP
Ballard,Ballard County Magistrate District 1,Ryan Hedrick,REP
Ballard,Ballard County Magistrate District 2,Barry Babb,REP
Ballard,Ballard County Magistrate District 2,Matt Thresher,REP
Ballard,Ballard County Magistrate District 3,Justin Mayo,REP
Ballard,Ballard County Magistrate District 3,Sidney Lovelace,REP
Ballard,Ballard County Magistrate District 4,Conner Swinford,REP
Ballard,Ballard County Magistrate District 4,Nathaniel Wyatt Whipple,REP
Ballard,Ballard County Magistrate District 5,Henry Bisson,REP
Ballard,Ballard County Magistrate District 5,Stonnie Dennis,REP
Ballard,Ballard County Property Valuation Administrator,Angel Horn,REP
Ballard,Ballard County Property Valuation Administrator,Susan Sullivan,REP
Ballard,Ballard County Sheriff,Ronnie Giles,REP
Ballard,Ballard County Sheriff,Ronnie Harvell,REP
Barren,Barren County Constable District 4,Russ Webster,REP
Barren,Barren County Constable District 4,Wayne Pedigo,REP
Barren,Barren County Jailer,Aaron M. Shirley,REP
Barren,Barren County Jailer,Hunter Jones,REP
Barren,Barren County Jailer,Larry Poteet,REP
Barren,Barren County Judge/Executive,Jamie Bewley Byrd,REP
Barren,Barren County Judge/Executive,Paula Ratliff Pedigo,REP
Barren,Barren County Magistrate District 1,Brandin Bartley,REP
Barren,Barren County Magistrate District 1,Mark Shipley,REP
Barren,Barren County Magistrate District 2,Brandon Bell,REP
Barren,Barren County Magistrate District 2,Derek Pedigo,REP
Barren,Barren County Magistrate District 3,Charley Bunch,REP
Barren,Barren County Magistrate District 3,Daniel Turner,REP
Barren,Barren County Magistrate District 3,Tim Durham,REP
Barren,Barren County Magistrate District 4,Thomas G. Branham,REP
Barren,Barren County Magistrate District 4,Tim Coomer,REP
Barren,Barren County Magistrate District 4,Trevor Phillips,REP
Barren,Barren County Magistrate District 5,Greg Gassaway,REP
Barren,Barren County Magistrate District 5,Marty Kinslow,REP
Barren,Barren County Magistrate District 5,Steven Gil Hernandez,REP
Barren,Barren County Magistrate District 7,Brad Groce,REP
Barren,Barren County Magistrate District 7,Michael Haynes,REP
Barren,Barren County Sheriff,Adam Bow,REP
Barren,Barren County Sheriff,Freddie Joe Wilkerson,REP
Barren,Barren County Sheriff,Steve Garrison,REP
Bath,Bath County Commissioner Board District 1,Jimmy White,REP
Bath,Bath County Commissioner Board District 1,John B. Willoughby,REP
Bath,Bath County Commissioner Board District 2,Dewayne Carpenter,REP
Bath,Bath County Commissioner Board District 2,Sammy Knell,REP
Bath,Bath County Commissioner Board District 3,Johnny Brashear,REP
Bath,Bath County Commissioner Board District 3,Norman Crouch,DEM
Bath,Bath County Commissioner Board District 3,Rodney Lynn Jackson,REP
Bath,Bath County Commissioner Board District 3,Russell Skaggs,REP
Bath,Bath County Commissioner Board District 3,Travis Ginter,DEM
Bath,Bath County Constable District 1,Jimmy Perry,DEM
Bath,Bath County Constable District 1,Malcolm Eversole,DEM
Bath,Bath County Constable District 1,Sir Broyles,DEM
Bath,Bath County Constable District 2,Danny Belcher,DEM
Bath,Bath County Constable District 2,David Jackson,DEM
Bath,Bath County Jailer,Chris A. Jamison,DEM
Bath,Bath County Jailer,Eddie Alan Slone,REP
Bath,Bath County Jailer,Johnny Ray Botts,DEM
Bath,Bath County Jailer,Patrick Riddle,REP
Bath,Bath County Judge/Executive,B.A. Franklin,DEM
Bath,Bath County Judge/Executive,Banford D. Wilson,REP
Bath,Bath County Judge/Executive,Dallas Wayne Whisman,REP
Bath,Bath County Judge/Executive,Edgar Goodpaster,DEM
Bath,Bath County Judge/Executive,Glen Hartley,REP
Bath,Bath County Judge/Executive,Nathan Lewis Fugate,DEM
Bath,Bath County Judge/Executive,Walter J. Bailey,REP
Bath,Bath County Judge/Executive,Walter Shrout,DEM
Bath,Bath County Sheriff,Ben Buckler Sr.,REP
Bath,Bath County Sheriff,Chris Ingram,REP
Bath,Bath County Sheriff,Christopher A. Hall,REP
Bath,Bath County Sheriff,Daniel Hurst,DEM
Bath,Bath County Sheriff,Earl Willis,DEM
Bath,Bath County Sheriff,John Snedegar,REP
Bath,Bath County Sheriff,Jonathon Crouch,REP
Bath,Bath County Sheriff,Justin Sutherland,DEM
Bath,Bath County Sheriff,William Hornback,DEM
Bell,Bell County Constable District 2,David Lee Cox,REP
Bell,Bell County Constable District 2,Robert Daniels,REP
Bell,Bell County Constable District 2,Tyler Lankford,REP
Bell,Bell County Coroner,Ethan Warren,REP
Bell,Bell County Coroner,Jay Steele,REP
Bell,Bell County Jailer,Annie Jean Nierengarten,REP
Bell,Bell County Jailer,Barb Venable,REP
Bell,Bell County Jailer,Derek Jones,REP
Bell,Bell County Jailer,Josh Collett,REP
Bell,Bell County Jailer,Tony Tigue,REP
Bell,Bell County Judge/Executive,Al Brock,REP
Bell,Bell County Judge/Executive,Jeromy Killion,REP
Bell,Bell County Judge/Executive,Rick Nelson,REP
Bell,Bell County Magistrate District 1,Alan Lee,REP
Bell,Bell County Magistrate District 1,Bert Marcum Jr.,REP
Bell,Bell County Magistrate District 1,Chris Webb,REP
Bell,Bell County Magistrate District 1,Clint Lonnie Shoffner,REP
Bell,Bell County Magistrate District 1,Eddie Saylor,REP
Bell,Bell County Magistrate District 1,Johnny Thomas,REP
Bell,Bell County Magistrate District 1,Tim Partin,REP
Bell,Bell County Magistrate District 2,Bruce Hendrickson,REP
Bell,Bell County Magistrate District 2,Charles N. Collett,REP
Bell,Bell County Magistrate District 2,Donny Lefevers,REP
Bell,Bell County Magistrate District 2,James Griffin,REP
Bell,Bell County Magistrate District 2,Jeremy Collett,REP
Bell,Bell County Magistrate District 2,Joseph Arthur Jordan,REP
Bell,Bell County Magistrate District 2,Keith Allen Cox,REP
Bell,Bell County Magistrate District 2,Michael Caldwell,REP
Bell,Bell County Magistrate District 3,Ben Hatfield,REP
Bell,Bell County Magistrate District 3,Larry Adkins,REP
Bell,Bell County Magistrate District 3,Nicklaus Alan Shoffner,REP
Bell,Bell County Magistrate District 4,Glenn Webb,REP
Bell,Bell County Magistrate District 4,Kenny Vanover,REP
Bell,Bell County Magistrate District 4,Kevin Barnett,REP
Bell,Bell County Magistrate District 5,Donnie Sparks,REP
Bell,Bell County Magistrate District 5,Joe Hammontree,REP
Bell,Bell County Magistrate District 5,John R. Trosper,REP
Bell,Bell County Magistrate District 5,Ronnie Fuson,REP
Bell,Bell County Magistrate District 5,Steven Robinson,REP
Bell,Bell County Property Valuation Administrator,Ben Barnett,REP
Bell,Bell County Property Valuation Administrator,Blake Charles Ramey,REP
Bell,Bell County Sheriff,George Howard,REP
Bell,Bell County Sheriff,Mitchell Williams,REP
Boone,Boone County Constable District 2,Bill Price,REP
Boone,Boone County Constable District 2,Patrick Ryan Bailey,REP
Boone,Boone County Judge/Executive,Chet Hand,REP
Boone,Boone County Judge/Executive,Gary W. Moore,REP
Bourbon,Bourbon County Clerk,Cynthia Santana Wilson,REP
Bourbon,Bourbon County Clerk,Jennifer Arnett,REP
Bourbon,Bourbon County Jailer,Jacob A. Adkins,REP
Bourbon,Bourbon County Jailer,Kevin Woosley,REP
Bourbon,Bourbon County Jailer,Wesley Burberry,REP
Bourbon,Bourbon County Judge/Executive,Andrew Perraut,REP
Bourbon,Bourbon County Judge/Executive,Tony Asbury,REP
Bourbon,Bourbon County Magistrate District 1,Travis Earlywine,REP
Bourbon,Bourbon County Magistrate District 1,Victoria Villegas Myers,REP
Bourbon,Bourbon County Magistrate District 2,Eugene Kiser Jr.,DEM
Bourbon,Bourbon County Magistrate District 2,Jimmy Mason,REP
Bourbon,Bourbon County Magistrate District 2,Jonathan Wesley Boyd,REP
Bourbon,Bourbon County Magistrate District 2,Louie Emmons,REP
Bourbon,Bourbon County Magistrate District 2,Randy Taulbee,DEM
Bourbon,Bourbon County Magistrate District 2,Ronnie Johnson,DEM
Bourbon,Bourbon County Magistrate District 2,William Gambill,REP
Bourbon,Bourbon County Magistrate District 5,Brittney Cloyd Nichols,REP
Bourbon,Bourbon County Magistrate District 5,Henry Lovell,REP
Bourbon,Bourbon County Magistrate District 6,Jeremy Wigglesworth,REP
Bourbon,Bourbon County Magistrate District 6,Louie Stubblefield,REP
Bourbon,Bourbon County Magistrate District 6,William H.B. Rich,REP
Bourbon,Bourbon County Magistrate District 7,Bill Conner,REP
Bourbon,Bourbon County Magistrate District 7,Greg Barnett,REP
Bourbon,Bourbon County Sheriff,Brent Wilson,REP
Bourbon,Bourbon County Sheriff,Chris Arnett,REP
Boyd,Boyd County Attorney,Curtis Dotson,REP
Boyd,Boyd County Attorney,Katee Elizabeth Neltner,REP
Boyd,Boyd County Commissioner Board District 1,David Salisbury,REP
Boyd,Boyd County Commissioner Board District 1,Heather Moore,REP
Boyd,Boyd County Commissioner Board District 1,James King,REP
Boyd,Boyd County Commissioner Board District 1,John Michael Conley,REP
Boyd,Boyd County Commissioner Board District 1,Keith Watts,REP
Boyd,Boyd County Commissioner Board District 3,Randy Stapleton,REP
Boyd,Boyd County Commissioner Board District 3,William Stevens Jr.,REP
Boyd,Boyd County Constable District 1,Aaron S. Profit,REP
Boyd,Boyd County Constable District 1,Brian K. Ramsdell,REP
Boyd,Boyd County Constable District 3,Mitchell W. Fetters,REP
Boyd,Boyd County Constable District 3,Richard Shawn Vanhoose,REP
Boyd,Boyd County Property Valuation Administrator,Brandon Reid Ramsey,REP
Boyd,Boyd County Property Valuation Administrator,Homer I. Woods Jr.,REP
Boyd,Boyd County Sheriff,James Reihs,REP
Boyd,Boyd County Sheriff,John Daniels,REP
Boyle,Boyle County Magistrate District 1,R. Matthew Ellis,REP
Boyle,Boyle County Magistrate District 1,William Rayens,REP
Boyle,Boyle County Magistrate District 2,Paula Jean Bodner,REP
Boyle,Boyle County Magistrate District 2,Ronnie Short,REP
Boyle,Boyle County Magistrate District 3,Barry Harmon,REP
Boyle,Boyle County Magistrate District 3,G. Michael Perros,REP
Boyle,Boyle County Magistrate District 6,Ross Grate,REP
Boyle,Boyle County Magistrate District 6,Steven C. Sleeper,REP
Boyle,Boyle County Sheriff,Marty Dean Elliott,REP
Boyle,Boyle County Sheriff,Taylor Bottom,REP
Bracken,Bracken County Clerk,Jennifer Free,REP
Bracken,Bracken County Clerk,Rae Jean Poe,REP
Bracken,Bracken County Judge/Executive,Carl Allen Jr.,REP
Bracken,Bracken County Judge/Executive,Christie Holleran Tarvin,REP
Bracken,Bracken County Judge/Executive,Craig Hester,REP
Bracken,Bracken County Magistrate District 1,Nick Meyer,REP
Bracken,Bracken County Magistrate District 1,Sandy Ruf,REP
Bracken,Bracken County Magistrate District 2,Scott Miller,REP
Bracken,Bracken County Magistrate District 2,Thomas Witt,REP
Bracken,Bracken County Magistrate District 2,Trenton A. Weiss,REP
Bracken,Bracken County Magistrate District 3,Howard W. Niemeier,DEM
Bracken,Bracken County Magistrate District 3,Kevin Cox,REP
Bracken,Bracken County Magistrate District 3,Lois A. Garrison,DEM
Bracken,Bracken County Magistrate District 3,S. Jane Crouch,REP
Bracken,Bracken County Magistrate District 3,Terry E. Blevins,DEM
Bracken,Bracken County Magistrate District 3,Victor McElfresh,REP
Bracken,Bracken County Magistrate District 4,Cathy Henderson,REP
Bracken,Bracken County Magistrate District 4,Daniel Holleran,REP
Bracken,Bracken County Magistrate District 5,Debbie Mayfield,REP
Bracken,Bracken County Magistrate District 5,Tyler D. Ruf,REP
Bracken,Bracken County Magistrate District 6,Darrin Sutton,REP
Bracken,Bracken County Magistrate District 6,John T. Scott,REP
Bracken,Bracken County Magistrate District 8,Douglas G. Goessling,REP
Bracken,Bracken County Magistrate District 8,Kevin Jarrells,REP
Bracken,Bracken County Sheriff,Herb Rumford Jr.,REP
Bracken,Bracken County Sheriff,Robert Boody,REP
Breathitt,Breathitt County Attorney,B. Douglas Holbrook,DEM
Breathitt,Breathitt County Attorney,Brendon Darrell Miller,DEM
Breathitt,Breathitt County Clerk,Ashley Strong Barnett,DEM
Breathitt,Breathitt County Clerk,Billy Ryan Chaney,DEM
Breathitt,Breathitt County Clerk,Della Lucas,DEM
Breathitt,Breathitt County Constable 1 District,Johnny Lockard,DEM
Breathitt,Breathitt County Constable 1 District,Mackie Richerson,DEM
Breathitt,Breathitt County Constable 1 District,Michael Gross,DEM
Breathitt,Breathitt County Coroner,Arlie B. Howard,DEM
Breathitt,Breathitt County Coroner,Brandi Hays Lykins,DEM
Breathitt,Breathitt County Coroner,Chase Fugate,DEM
Breathitt,Breathitt County Coroner,Dallas Morris,DEM
Breathitt,Breathitt County Coroner,Dennis Spicer,DEM
Breathitt,Breathitt County Coroner,George Turner,DEM
Breathitt,Breathitt County Coroner,Jason Hall,DEM
Breathitt,Breathitt County Coroner,Marranda Stidham,DEM
Breathitt,Breathitt County Judge/Executive,Hargis Epperson,DEM
Breathitt,Breathitt County Judge/Executive,Jeff Noble,DEM
Breathitt,Breathitt County Judge/Executive,Jeremy Keith Southwood,REP
Breathitt,Breathitt County Judge/Executive,Tim Spencer,REP
Breathitt,Breathitt County Judge/Executive,Vicie Pelfrey,DEM
Breathitt,Breathitt County Magistrate District 1,Brenda F. Terry,DEM
Breathitt,Breathitt County Magistrate District 1,Donnie Bush,DEM
Breathitt,Breathitt County Magistrate District 1,John Lester Smith,DEM
Breathitt,Breathitt County Magistrate District 1,Joshua B. Howard,DEM
Breathitt,Breathitt County Magistrate District 1,Justin Wayne Hollon,DEM
Breathitt,Breathitt County Magistrate District 1,Luther Campbell,DEM
Breathitt,Breathitt County Magistrate District 1,Steve McIntosh,DEM
Breathitt,Breathitt County Magistrate District 2,Gran Wayne McIntosh,DEM
Breathitt,Breathitt County Magistrate District 2,Jarvis Combs,DEM
Breathitt,Breathitt County Magistrate District 2,Roy Oakley Herald,DEM
Breathitt,Breathitt County Magistrate District 3,Drewey Lovins,DEM
Breathitt,Breathitt County Magistrate District 3,Jeremy Pelfrey,DEM
Breathitt,Breathitt County Magistrate District 4,Jermery P. Montgomery,DEM
Breathitt,Breathitt County Magistrate District 4,John Marshall,DEM
Breathitt,Breathitt County Magistrate District 4,Michael Prater,DEM
Breathitt,Breathitt County Magistrate District 4,Victor Turner,DEM
Breathitt,Breathitt County Property Valuation Administrator,David C. Turner,DEM
Breathitt,Breathitt County Property Valuation Administrator,Jeff D. Allen,DEM
Breathitt,Breathitt County Property Valuation Administrator,Matthew Reeve Hudson,DEM
Breathitt,Breathitt County Sheriff,Frank Thorpe,DEM
Breathitt,Breathitt County Sheriff,Jeffery Turner,DEM
Breathitt,Breathitt County Sheriff,John Hollan,DEM
Breathitt,Breathitt County Sheriff,Michael A. Wolfe,DEM
Breathitt,Breathitt County Sheriff,Ray Clemons,DEM
Breathitt,Breathitt County Sheriff,Ronnie Begley,DEM
Breckinridge,Breckinridge County Constable District 4,Harold Parente,REP
Breckinridge,Breckinridge County Constable District 4,Ricky L. Lucas,REP
Breckinridge,Breckinridge County Jailer,Ashley Board,REP
Breckinridge,Breckinridge County Jailer,Ernest Rutherford,REP
Breckinridge,Breckinridge County Jailer,Tara Pile Shrewsberry,REP
Breckinridge,Breckinridge County Jailer,Wayne Beauchamp,REP
Breckinridge,Breckinridge County Judge/Executive,Jesse Stephen Clark,REP
Breckinridge,Breckinridge County Judge/Executive,Kevin Bruce Drane,REP
Breckinridge,Breckinridge County Judge/Executive,Maurice D. Lucas,REP
Breckinridge,Breckinridge County Judge/Executive,Shane Beavin,REP
Breckinridge,Breckinridge County Magistrate District 1,Jeremy Armstrong,REP
Breckinridge,Breckinridge County Magistrate District 1,Jim Beauchamp,REP
Breckinridge,Breckinridge County Magistrate District 2,John Michael Henning,REP
Breckinridge,Breckinridge County Magistrate District 2,Larry Moad,REP
Breckinridge,Breckinridge County Magistrate District 2,Marcus Wade French,REP
Breckinridge,Breckinridge County Magistrate District 2,William H. Blair,REP
Breckinridge,Breckinridge County Magistrate District 5,Brett Mingus,REP
Breckinridge,Breckinridge County Magistrate District 5,Edwin Sam Moore,REP
Breckinridge,Breckinridge County Magistrate District 6,Charles Brandon Henning,REP
Breckinridge,Breckinridge County Magistrate District 6,Thomas Roach,REP
Breckinridge,Breckinridge County Magistrate District 6,Tim Milburn,REP
Breckinridge,Breckinridge County Sheriff,Duke Foster,REP
Breckinridge,Breckinridge County Sheriff,Todd Pate,REP
Breckinridge,Breckinridge County Sheriff,Wm. Richardson,REP
Bullitt,Bullitt County Clerk,Allen Maricle,REP
Bullitt,Bullitt County Clerk,Cody Waters,REP
Bullitt,Bullitt County Clerk,Debra Johnson,REP
Bullitt,Bullitt County Clerk,Mark Williams,REP
Bullitt,Bullitt County Clerk,Rita Parsons,REP
Bullitt,Bullitt County Clerk,Sheri Webber,REP
Bullitt,Bullitt County Constable District 1,Edward Dugan III,REP
Bullitt,Bullitt County Constable District 1,William Edward McAllister,REP
Bullitt,Bullitt County Constable District 2,Andrew M. Lutz,REP
Bullitt,Bullitt County Constable District 2,Eric W. Sullivan,REP
Bullitt,Bullitt County Constable District 2,John Cauley,REP
Bullitt,Bullitt County Constable District 2,Paul Kent Roby,REP
Bullitt,Bullitt County Jailer,Bryan Whittaker,REP
Bullitt,Bullitt County Jailer,Dewey Wayne McMillen,REP
Bullitt,Bullitt County Jailer,John A. Claypoole II,REP
Bullitt,Bullitt County Judge/Executive,Jerral Summers,REP
Bullitt,Bullitt County Judge/Executive,Shelia Metcalfe,REP
Bullitt,Bullitt County Judge/Executive,Tony Thompson,REP
Bullitt,Bullitt County Magistrate District 1,Anthony Hester,REP
Bullitt,Bullitt County Magistrate District 1,Vera J. Sanders,REP
Bullitt,Bullitt County Magistrate District 2,Bruce Gooden,REP
Bullitt,Bullitt County Magistrate District 2,Gary Lawson,REP
Bullitt,Bullitt County Magistrate District 3,Gary W. Hatcher,REP
Bullitt,Bullitt County Magistrate District 3,Karen Johnson,REP
Bullitt,Bullitt County Magistrate District 3,Mike Rice,REP
Bullitt,Bullitt County Magistrate District 4,Brian Bleemel,REP
Bullitt,Bullitt County Magistrate District 4,Joe Rayhill,REP
Bullitt,Bullitt County Sheriff,Kenneth L. Proffitt,REP
Bullitt,Bullitt County Sheriff,Walt Sholar,REP
Bullitt,Bullitt County Surveyor,Alan Hartley,REP
Bullitt,Bullitt County Surveyor,William Harned,REP
Butler,Butler County Constable District 1,Harold Todd Meredith,REP
Butler,Butler County Constable District 1,Steven Wayne Johnson,REP
Butler,Butler County Constable District 3,Cecil A. Orten,REP
Butler,Butler County Constable District 3,Tony Givens,REP
Butler,Butler County Constable District 4,Glenn Mason,REP
Butler,Butler County Constable District 4,Gregory Wayne Phelps,REP
Butler,Butler County Constable District 5,Jody Henderson,REP
Butler,Butler County Constable District 5,Seth M. Felty,REP
Butler,Butler County Jailer,Brandon K. Dockery,REP
Butler,Butler County Jailer,Danielle Hope,REP
Butler,Butler County Jailer,Gordon W. Harper,REP
Butler,Butler County Jailer,Jason Ward Bratcher,REP
Butler,Butler County Jailer,Jordon Johnson,REP
Butler,Butler County Jailer,Ralph Spohn,REP
Butler,Butler County Jailer,Rodney L. McMillin,REP
Butler,Butler County Judge/Executive,Tim Flener,REP
Butler,Butler County Judge/Executive,Travis McIntosh,REP
Butler,Butler County Magistrate District 1,Janeen Taylor,REP
Butler,Butler County Magistrate District 1,Stevie R. Givens,REP
Butler,Butler County Magistrate District 2,Alan Cooper,REP
Butler,Butler County Magistrate District 2,Jacob Skipworth,REP
Butler,Butler County Magistrate District 2,James Leonard Melton,REP
Butler,Butler County Magistrate District 2,Jason Shelby Elms,REP
Butler,Butler County Magistrate District 3,Curtis Allen Smith,REP
Butler,Butler County Magistrate District 3,Timmy K. Givens,REP
Butler,Butler County Magistrate District 4,Angela Emmick,REP
Butler,Butler County Magistrate District 4,Brandon Embry,REP
Butler,Butler County Magistrate District 4,David Whittinghill,REP
Butler,Butler County Magistrate District 5,Bryan Thomas Pharris,REP
Butler,Butler County Magistrate District 5,Dillon Bryant,REP
Butler,Butler County Sheriff,Bobbie Jean Hooten Jr.,REP
Butler,Butler County Sheriff,Giles Taylor,REP
Butler,Butler County Sheriff,Joe Alford,REP
Butler,Butler County Sheriff,Talon Gary,REP
Caldwell,Caldwell County Clerk,David Zachary Granstaff,REP
Caldwell,Caldwell County Clerk,Jennifer Watson Hale,REP
Caldwell,Caldwell County Jailer,Angela Cotton,REP
Caldwell,Caldwell County Jailer,William Baker,REP
Caldwell,Caldwell County Judge/Executive,Chris Noel,REP
Caldwell,Caldwell County Judge/Executive,Jeff Simms,REP
Caldwell,Caldwell County Magistrate District 1,Bobby Joe Harper,REP
Caldwell,Caldwell County Magistrate District 1,Casey Baker,REP
Caldwell,Caldwell County Magistrate District 2,Clint Joiner,REP
Caldwell,Caldwell County Magistrate District 2,Jeff Boone,REP
Caldwell,Caldwell County Magistrate District 4,George B. Kilgore,REP
Caldwell,Caldwell County Magistrate District 4,Matt Lane,REP
Caldwell,Caldwell County Magistrate District 4,Randy Jordan,REP
Calloway,Calloway County Jailer,Brad Rowland,REP
Calloway,Calloway County Jailer,Mark A. McCuiston,REP
Calloway,Calloway County Jailer,Shane M. Henley,REP
Calloway,Calloway County Judge/Executive,Kenny Imes,REP
Calloway,Calloway County Judge/Executive,Paul W. Rister,REP
Calloway,Calloway County Magistrate District 2,Kenneth Reynolds,REP
Calloway,Calloway County Magistrate District 2,Larry G. Crutcher,REP
Calloway,Calloway County Magistrate District 3,Cole Houston,REP
Calloway,Calloway County Magistrate District 3,Don Cherry,REP
Campbell,Campbell County Commissioner Board District 1,Brian Painter,REP
Campbell,Campbell County Commissioner Board District 1,Dave Fischer,REP
Campbell,Campbell County Constable District 1,Ken Warden,REP
Campbell,Campbell County Constable District 1,Sean Donelan,REP
Campbell,Campbell County Coroner,Derek Myers,REP
Campbell,Campbell County Coroner,Mark Schweitzer,REP
Campbell,Campbell County Jailer,Brian Jennings,REP
Campbell,Campbell County Jailer,Ryan Grosser,REP
Campbell,Campbell County Judge/Executive,Andrew Schabell,REP
Campbell,Campbell County Judge/Executive,Steve Pendery,REP
Carlisle,Carlisle County Judge/Executive,Jessica Galloway,REP
Carlisle,Carlisle County Judge/Executive,Nick Teasley,REP
Carlisle,Carlisle County Magistrate District 1,Lisa Mantle Adams,REP
Carlisle,Carlisle County Magistrate District 1,Tiffany Black McCuan,REP
Carlisle,Carlisle County Magistrate District 2,Matt Oliver,REP
Carlisle,Carlisle County Magistrate District 2,Stacey Brown,REP
Carlisle,Carlisle County Sheriff,Eric Perry,REP
Carlisle,Carlisle County Sheriff,Kyle Webb,REP
Carroll,Carroll County Constable District 3,James Fox,REP
Carroll,Carroll County Constable District 3,Samuel A. Proctor,REP
Carroll,Carroll County Judge/Executive,J. Scott Nab,REP
Carroll,Carroll County Judge/Executive,Mark Bates,REP
Carroll,Carroll County Magistrate District 1,Benjamin Long,REP
Carroll,Carroll County Magistrate District 1,Dustin Allen Smith,DEM
Carroll,Carroll County Magistrate District 1,John Proctor,DEM
Carroll,Carroll County Magistrate District 1,Lance Maiden,REP
Carroll,Carroll County Magistrate District 1,Paul D. Yocum,REP
Carroll,Carroll County Magistrate District 3,Darrell John Barnhill,REP
Carroll,Carroll County Magistrate District 3,Jason Noble,REP
Carroll,Carroll County Magistrate District 3,Jennifer Beach,REP
Carroll,Carroll County Magistrate District 3,Jesse Saggus,REP
Carroll,Carroll County Magistrate District 3,Joe Gibson,REP
Carter,Carter County Constable District 1,Brian Stevens,REP
Carter,Carter County Constable District 1,Carl Edward Bocook,REP
Carter,Carter County Constable District 1,John F. Jenkins,REP
Carter,Carter County Magistrate District 1,Chris Huddle,REP
Carter,Carter County Magistrate District 1,Curt Bair,REP
Carter,Carter County Magistrate District 4,Danny Joe Holbrook,REP
Carter,Carter County Magistrate District 4,Donnie Oppenheimer,REP
Carter,Carter County Magistrate District 4,Timothy Dean Barker,REP
Carter,Carter County Magistrate District 5,David Leroy Jessie,REP
Carter,Carter County Magistrate District 5,Eric Johnson,REP
Carter,Carter County Magistrate District 5,Harley Rayburn,REP
Carter,Carter County Magistrate District 5,R. John Moseley III,REP
Casey,Casey County Clerk,Bart Woodrum,REP
Casey,Casey County Clerk,Casey Davis,REP
Casey,Casey County Clerk,Lisa Andrews,REP
